"People, B2B AI Startups, Marketing Tech","First Name","Last Name","Full Name","Job Title","Company","City","State or Province","Country","LinkedIn Profile","Enrich person","Connections","Headline","Summary","Jobs Count","Summarize LinkedIn profile"
,"Tim","Brown","Tim Brown","Cofounder and Chief Evangelist","Neol","San Francisco","California","United States","https://www.linkedin.com/in/tim-brown-61176a3/",,,,,,
,"Tejaswee","Tripathy","Tejaswee Tripathy","Chief Human Resources Officer","FinocontrolTM","Gurugram","Haryana","India","https://www.linkedin.com/in/tejaswee-tripathy/",,,,,,
,"Alex","Hormozi","Alex Hormozi","Managing Partner","Acquisition.com","Las Vegas","Nevada","United States","https://www.linkedin.com/in/alexhormozi/",,,,,,
,"Sanyin","Siang","Sanyin Siang","Advisor to the CEO","Privateer Space","Durham","North Carolina","United States","https://www.linkedin.com/in/sanyin/",,,,,,
,"Suze","Orman","Suze Orman","Co-Founder, SecureSave","Secure","Santa Monica","California","United States","https://www.linkedin.com/in/suzeorman/",,,,,,
,"Camila","Farani","Camila Farani","Fundador","Farani Escola de Negócios","São Paulo","São Paulo","Brazil","https://www.linkedin.com/in/camilafarani/",,,,,,
,"Ola","Brown","Dr Ola Brown","Founding Partner","HealthCap Africa","Lagos State","","Nigeria","https://www.linkedin.com/in/olamideorekunrin/",,,,,,
,"Justin","Wright","Justin Wright","beehiiv Author of Brilliance Brief","beehiiv","Phoenix","Arizona","United States","https://www.linkedin.com/in/jwmba/",,,,,,
,"Robin","Wauters","Robin Wauters","Venture Scout","EWOR","Brussels","Brussels-Capital Region","Belgium","https://www.linkedin.com/in/robinwauters/",,,,,,
,"Joerg","Storm","Dr. Joerg Storm","Investor & Advisory Board Member","Zapdeck","","","United States","https://www.linkedin.com/in/joergstorm/",,,,,,
,"Gustavo","Caetano","Gustavo Caetano","Partner","Mergus Ventures","Belo Horizonte","Minas Gerais","Brazil","https://www.linkedin.com/in/gustavocaetano/",,,,,,
,"Stephen","Curry","Stephen Curry","Special Advisor","Penny Jar Capital","","","United States","https://www.linkedin.com/in/stephencurry30/",,,,,,
,"Aishwarya","Srinivasan","Aishwarya Srinivasan","Angel Investor","DynamoFL","San Francisco","California","United States","https://www.linkedin.com/in/aishwarya-srinivasan/",,,,,,
,"Dave","Kerpen","Dave Kerpen","Vice President","Grateful","New York City","New York","United States","https://www.linkedin.com/in/davekerpen/",,,,,,
,"Cory","Warfield","Cory Warfield","Strategic Advisor","Lattitude","Chicago","Illinois","United States","https://www.linkedin.com/in/CoryWarfield/",,,,,,
,"Marco","Gomes","Marco Gomes","Chief Information Officer","Hike","Brooklyn","New York","United States","https://www.linkedin.com/in/mvtgomes/",,,,,,
,"Reno","Perry","Reno Perry","Co-Founder","Wiseful","Chicago","Illinois","United States","https://www.linkedin.com/in/renoperry/",,,,,,
,"Jody","Padar","Jody Padar","Truth Advisor","Trullion","Brussels","Wisconsin","United States","https://www.linkedin.com/in/jody-padar-18a9711/",,,,,,
,"Vaibhav","Sisinty","Vaibhav Sisinty","Founder","GrowthSchool","Bengaluru","Karnataka","India","https://www.linkedin.com/in/vaibhavsisinty/",,,,,,
,"Henry","Blodget","Henry Blodget","Chair and Co-Founder","Spooler Media","","New York","United States","https://www.linkedin.com/in/henry-blodget-a541a3/",,,,,,
,"Amena","Baig","Amena Baig","Founder","WeSource HR","Dubai","","United Arab Emirates","https://www.linkedin.com/in/amenabaig/",,,,,,
,"Frank","Thelen","Frank Thelen","Seed Investor","United Manufacturing Hub (UMH)","Bonn","North Rhine-Westphalia","Germany","https://www.linkedin.com/in/frank-thelen/",,,,,,
,"Michelle","Zampiere","Michelle Zampiere","Consultora de Recursos Humanos","Ully Oficial","Rio de Janeiro","","Brazil","https://www.linkedin.com/in/michelle-zampiere-336678101/",,,,,,
,"Alex","Rodriguez","Alex Rodriguez","Co-Founder","Mojo","Miami","Florida","United States","https://www.linkedin.com/in/alex-rodriguez-b4161815a/",,,,,,
,"Ishan","Sharma","Ishan Sharma","Co-Founder","MarkitUp","Bengaluru","Karnataka","India","https://www.linkedin.com/in/ishansharma7390/",,,,,,
,"Dennis","Mortensen","Dennis R. Mortensen","CEO and Founder","LaunchBrightly","","New York","United States","https://www.linkedin.com/in/dennismortensen/",,,,,,
,"Atif","Rafiq","Atif Rafiq","CEO & Co-founder","Ritual","Chicago","Illinois","United States","https://www.linkedin.com/in/atif1/",,,,,,
,"Andréa","Greco","Andréa Greco","Mentora de Carreiras, Networking e LinkedIn","eMentor.br","São Paulo","","Brazil","https://www.linkedin.com/in/andreagrecof/",,,,,,
,"Nansi","Mishra","Nansi Mishra","Co-Founder","Neon","","","Singapore","https://www.linkedin.com/in/nansi-mishra/",,,,,,
,"André","Forastieri","André Forastieri","Fundador","HOMEWORK","São Paulo","","Brazil","https://www.linkedin.com/in/andreforastieri/",,,,,,
,"Mohamed","Aboulnaga","Mohamed (Nagaty) Aboulnaga","Cofounder and executive chairman","Exits MENA","","","Egypt","https://www.linkedin.com/in/nagaty/",,,,,,
,"Mark","Hyman","Mark Hyman, MD","Co-Founder and Chief Medical Officer","Function Health","","Massachusetts","United States","https://www.linkedin.com/in/drhyman/",,,,,,
,"Oana","Labes","Oana Labes, MBA, CPA","Founder & CEO","Financiario","San Francisco","California","United States","https://www.linkedin.com/in/oanalabes/",,,,,,
,"John","Barrows","John Barrows","Advisory Board Member","Sales Community","Boston","Massachusetts","United States","https://www.linkedin.com/in/johnbarrows/",,,,,,
,"Wagner","Sousa","Wagner Sousa","Talent Acquisition","headhunters.io","São Paulo","","Brazil","https://www.linkedin.com/in/wagner-sousa-621082105/",,,,,,
,"Ryan","Serhant","Ryan Serhant","Investor","RLTY Capital","","New York","United States","https://www.linkedin.com/in/ryanserhant/",,,,,,
,"Leila","Hormozi","Leila Hormozi","Executive Chairwoman","Acquisition.com","Las Vegas","Nevada","United States","https://www.linkedin.com/in/leilahormozi/",,,,,,
,"Patricia","Pousa","Patricia Pessoa Pousa","Influenciadora","Gombo","Campinas","São Paulo","Brazil","https://www.linkedin.com/in/patricia-pessoa-pousa/",,,,,,
,"Samara","Souza","Samara Souza","Mentora","eMentor","Fortaleza","Ceará","Brazil","https://www.linkedin.com/in/samarabsouza/",,,,,,
,"Tobi","Oluwole","Tobi Oluwole","Angel Investor","Stan","Toronto","Ontario","Canada","https://www.linkedin.com/in/thetobioluwole/",,,,,,
